,,,DM_n,DM_mean,DM_std,DM_statistics
2__PSTAT002,Bayes,AR Logit Default,10118.0,-0.00020053124193089396,9.945065855111385e-06,-20.16289635272615
2__PSTAT002,Bayes,AR Flx Logit,10118.0,-0.00019118991768627325,9.563878533468538e-06,-19.98984708708959
2__PSTAT002,Bayes,RLS,10118.0,-0.0009889630504277401,0.00011883643545262849,-8.321641203599075
2__PSTAT002,Bayes,sRLS,10118.0,-0.0001201644315958846,2.9210730819849597e-05,-4.113505205976159
2__PSTAT002,Bayes,RMLE,10117.0,-0.00019145259577000974,9.55502881800692e-06,-20.035850990865796
2__PSTAT002,Bayes,sRMLE,10117.0,-0.00019132727930199362,9.57368252987089e-06,-19.98372337285904
2__PSTAT002,Bayes,Bayes,0.0,1.0,1.0,0.0
2__PSTAT002,Bayes,Ada Bayes,10117.0,0.0004453434363646548,2.1036784167237932e-05,21.16870252705664
2__PSTAT002,Ada Bayes,Persistent,10117.0,-0.003362667854718152,0.00012891662686877726,-26.082761729826338
2__PSTAT002,Ada Bayes,AR Logit Default,10117.0,-0.0006458914463565237,2.2800370509099643e-05,-28.326711805614504
2__PSTAT002,Ada Bayes,AR Flx Logit,10117.0,-0.0006365523916003162,2.2606092318926605e-05,-28.157052634317825
2__PSTAT002,Ada Bayes,RLS,10117.0,-0.0014344044036034092,0.00012011332050953922,-11.941502449268175
2__PSTAT002,Ada Bayes,sRLS,10117.0,-0.000565415537223932,3.9109734730253066e-05,-14.456441512560275
2__PSTAT002,Ada Bayes,RMLE,10117.0,-0.0006367960321346645,2.2611682191744562e-05,-28.160866333317305
2__PSTAT002,Ada Bayes,sRMLE,10117.0,-0.0006366707156666484,2.260817632858409e-05,-28.159690558222902
2__PSTAT002,Ada Bayes,Bayes,10117.0,-0.0004453434363646548,2.1036784167237932e-05,-21.16870252705664
2__PSTAT002,Ada Bayes,Ada Bayes,0.0,1.0,1.0,0.0
E_ABRTW-1,Persistent,Persistent,0.0,1.0,1.0,0.0
E_ABRTW-1,Persistent,AR Logit Default,9137.0,0.0008005568238944915,8.95308719381501e-05,8.941195331294978
E_ABRTW-1,Persistent,AR Flx Logit,9137.0,0.00128923196898747,6.910395474638447e-05,18.65539275891987
E_ABRTW-1,Persistent,RLS,9137.0,0.0011000886896934603,8.393319292402651e-05,13.106000737718052
E_ABRTW-1,Persistent,sRLS,9137.0,0.0014920569432670086,7.259264075828664e-05,20.552707220434616
E_ABRTW-1,Persistent,RMLE,9136.0,0.001474978303823719,6.632338972873997e-05,22.23797040877051
E_ABRTW-1,Persistent,sRMLE,9136.0,0.0012556442086941132,6.857258268851391e-05,18.310167679338914
E_ABRTW-1,Persistent,Bayes,9137.0,0.0013907028766829736,6.821833000061957e-05,20.38494304642074
E_ABRTW-1,Persistent,Ada Bayes,9136.0,0.0014025491496654587,6.820788105642381e-05,20.56173518906701
E_ABRTW-1,AR Logit Default,Persistent,9137.0,-0.0008005568238944915,8.95308719381501e-05,-8.941195331294978
E_ABRTW-1,AR Logit Default,AR Logit Default,0.0,1.0,1.0,0.0
E_ABRTW-1,AR Logit Default,AR Flx Logit,9137.0,0.0004886751450929787,2.621568045517694e-05,18.639546802676072
E_ABRTW-1,AR Logit Default,RLS,9137.0,0.0002995318657989688,5.8459962407229875e-05,5.1234291276951796
E_ABRTW-1,AR Logit Default,sRLS,9137.0,0.0006915001193725172,3.545420866075326e-05,19.502967455836227
E_ABRTW-1,AR Logit Default,RMLE,9136.0,0.0006747425841085115,3.2255208351910244e-05,20.917727396345047
E_ABRTW-1,AR Logit Default,sRMLE,9136.0,0.00045540848897890573,2.6560512203675036e-05,17.145134888984206
E_ABRTW-1,AR Logit Default,Bayes,9137.0,0.0005901460527884823,2.861950159626542e-05,20.619288411417113
E_ABRTW-1,AR Logit Default,Ada Bayes,9136.0,0.0006023134299502512,2.863807025897012e-05,21.030762892322162
E_ABRTW-1,AR Flx Logit,Persistent,9137.0,-0.00128923196898747,6.910395474638447e-05,-18.65539275891987
E_ABRTW-1,AR Flx Logit,AR Logit Default,9137.0,-0.0004886751450929787,2.621568045517694e-05,-18.639546802676072
E_ABRTW-1,AR Flx Logit,AR Flx Logit,0.0,1.0,1.0,0.0
